Model,Quality (%),mAP50,mAP50-95,mAP75,precision,recall
Standard (Q100),20,0.15039449715252567,0.07948971662599152,0.07512819311709247,0.30942090600892946,0.19114018488487944
Standard (Q100),40,0.3221509836730323,0.1850309587362176,0.18559925109729933,0.46354700351049766,0.35270686921884964
Standard (Q100),60,0.34659756473648595,0.2001955672683467,0.2022190246150184,0.4793535660078412,0.3774042071174971
Standard (Q100),80,0.3542822694657817,0.20591703164822145,0.20858380960640127,0.4870179793136318,0.3852970872904188
Standard (Q100),100,0.354411606571877,0.20587766150020367,0.20908343356141995,0.48572005328864487,0.3866041991315924
Multi-Quality,20,0.2628159915809976,0.146603341849148,0.14284305217256799,0.4191230255247625,0.2976887794956488
Multi-Quality,40,0.34232223243000004,0.20005577217857734,0.20321154375024006,0.4919454011027285,0.3689405894144912
Multi-Quality,60,0.35852987629807165,0.20979698090254062,0.2131536999182654,0.501800589695708,0.38514854699330153
Multi-Quality,80,0.36335143487327126,0.21363271303234696,0.21788975915969164,0.5031935621813167,0.39109899106824597
Multi-Quality,100,0.36176469986164,0.21271408612774348,0.21722915489231256,0.5036933018825692,0.3912414279288235
YOLOv8n-Standard,20,0.13754755290031837,0.07065354104979116,0.06491248597434264,0.28248030602114926,0.17805397232131537
YOLOv8n-Standard,40,0.25147277520227396,0.13866588586288617,0.13734385124562679,0.38622197514712386,0.28172517412444387
YOLOv8n-Standard,60,0.266901404254018,0.147680937647934,0.14584679299149492,0.3913062306350459,0.2975093031082158
YOLOv8n-Standard,80,0.2727800940211583,0.15162430445617492,0.15078493627987305,0.3942723646158331,0.30721795506677874
YOLOv8n-Standard,100,0.27248568624901887,0.15172942922037247,0.15104992071403256,0.3913904108174928,0.30611452728458
YOLOv8n-MultiQuality,20,0.19584260739312415,0.10605802464273253,0.10251727772520325,0.35914542345586653,0.2268086567099651
YOLOv8n-MultiQuality,40,0.25742178027929624,0.1450866795569819,0.14467311236900487,0.3996978234696805,0.2900240974265144
YOLOv8n-MultiQuality,60,0.2677583485164831,0.15200206975411185,0.15151350776113806,0.40608630281187097,0.3002451581143276
YOLOv8n-MultiQuality,80,0.27278683192702535,0.1555500178131002,0.1568381099035528,0.4063748982504468,0.3074738164042357
YOLOv8n-MultiQuality,100,0.2706419116076689,0.15416284460616683,0.1552642248713249,0.41033603250395334,0.303910303225701
YOLO11m-Standard,20,0.14679989098135338,0.07832833887479193,0.07475724587866674,0.3119188479972962,0.18939568254416264
YOLO11m-Standard,40,0.3352958688190143,0.1915990489523402,0.19212741154678753,0.48056930946853055,0.36093040074939947
YOLO11m-Standard,60,0.3615984555615438,0.20885465079923055,0.21211075253724862,0.4940160256848749,0.3877368435271342
YOLO11m-Standard,80,0.37304342834729165,0.2166385955966208,0.22011868187114084,0.5025308713000676,0.3991633169681621
YOLO11m-Standard,100,0.3709778653712303,0.21564836094740397,0.21970693913857725,0.4964598756136313,0.4004131116898928
YOLO11m-MultiQuality,20,0.27073872327093973,0.1497967659114553,0.14603824944983507,0.4198114959035009,0.30620279825760716
YOLO11m-MultiQuality,40,0.35445431453854537,0.20523865251017903,0.2081927655940079,0.4860573869271959,0.38060368674486494
YOLO11m-MultiQuality,60,0.37312307526559013,0.21764706724696314,0.22064471366878857,0.495509245889626,0.4026772391478256
YOLO11m-MultiQuality,80,0.37727255679219895,0.22132564440915073,0.22691381289856033,0.5024670801685016,0.40434138852294776
YOLO11m-MultiQuality,100,0.37600205699321243,0.22057192027496758,0.22637947970637703,0.5059568731321777,0.4013038711906729
