Model,Quality (%),mAP50-95,mAP50,mAP75,Precision,Recall
Standard (Q100),20,0.12769807875621578,0.23417963803370362,0.12376209575982522,0.37320772301482874,0.24343598201713573
Standard (Q100),40,0.2269872444712496,0.3846367701630922,0.23060610995216102,0.49286776865413334,0.3998977904605372
Standard (Q100),60,0.24048495775246967,0.4046349708103457,0.24804635608462733,0.48509431469059205,0.4384721921946402
Standard (Q100),80,0.24094567778393836,0.4048941809746681,0.24690999072892278,0.5066875198623462,0.4256835027628189
Standard (Q100),100,0.239540542684363,0.4019947101984068,0.24702910183997737,0.4911630036859206,0.43206993204583377
Multi-Quality,20,0.19080658386381408,0.33509463350283925,0.19223564080756084,0.44431715589800513,0.36009419990053515
Multi-Quality,40,0.2356024940152281,0.39475595598481367,0.24210930034806225,0.49273689660109443,0.418801090470913
Multi-Quality,60,0.24496526562603876,0.40833185274626815,0.2557354401704967,0.5085630991127184,0.43528709423803535
Multi-Quality,80,0.24512298003930383,0.4069395417706623,0.2562600019097868,0.5107222366397901,0.4313692731810924
Multi-Quality,100,0.24285796789938197,0.40349343490188144,0.25392997323024946,0.5122688910832116,0.42796148329345185
