Model,Quality (%),mAP50,mAP50-95,mAP75,precision,recall
Standard (Q100),20,0.15039449715252567,0.07948971662599152,0.07512819311709247,0.30942090600892946,0.19114018488487944
Standard (Q100),40,0.3221509836730323,0.1850309587362176,0.18559925109729933,0.46354700351049766,0.35270686921884964
Standard (Q100),60,0.34659756473648595,0.2001955672683467,0.2022190246150184,0.4793535660078412,0.3774042071174971
Standard (Q100),80,0.3542822694657817,0.20591703164822145,0.20858380960640127,0.4870179793136318,0.3852970872904188
Standard (Q100),100,0.354411606571877,0.20587766150020367,0.20908343356141995,0.48572005328864487,0.3866041991315924
B1 (Q100-Aug-5x),20,0.1673434065268637,0.08880092764041027,0.08302514753278371,0.3409390302794034,0.20526581743187142
B1 (Q100-Aug-5x),40,0.3386214070445881,0.1955727865283121,0.19791597682183534,0.4867158955809531,0.36337841936260923
B1 (Q100-Aug-5x),60,0.3667657254132394,0.21352231176832823,0.2165842307034443,0.5017100441229486,0.3921234136847876
B1 (Q100-Aug-5x),80,0.3741911528863309,0.21959415469452004,0.22402708133148774,0.5122961368728184,0.39651607759842544
B1 (Q100-Aug-5x),100,0.37202318998201506,0.218230171628684,0.2225537582284142,0.5101662177082267,0.3967857109356374
B2 (Random-1x),20,0.238557816602897,0.13033285729732744,0.12614053983033519,0.3827847701365283,0.2770854050910726
B2 (Random-1x),40,0.32820326315455767,0.18908858483626773,0.1914175316780376,0.4751900823092045,0.35539826470534913
B2 (Random-1x),60,0.3447756703860603,0.19895729293771422,0.20207172941306104,0.48003757456390517,0.3729987056130323
B2 (Random-1x),80,0.3492139034911651,0.2021928267347208,0.2060573529682052,0.4883938556614657,0.37629556190701363
B2 (Random-1x),100,0.3474894504124624,0.20148201483547573,0.20569248048597974,0.4887438956427005,0.3767164078014355
B3 (Random-5x),20,0.2555917930393456,0.14157244421290063,0.13693812165284247,0.41411718741333187,0.28646155458101996
B3 (Random-5x),40,0.33787229895242704,0.1961877672601207,0.19848374371914917,0.4816169018001307,0.369843195727463
B3 (Random-5x),60,0.3525480144973076,0.20633784804469865,0.20846695401130452,0.49200749137041566,0.3829676031378527
B3 (Random-5x),80,0.356868029048794,0.20939671465464094,0.21378054726235368,0.49962608756155136,0.38455655047772386
B3 (Random-5x),100,0.35659787079695404,0.20887207459024354,0.2124813737522961,0.4957682718362603,0.38589923511487695
Multi-Quality,20,0.2628159915809976,0.146603341849148,0.14284305217256799,0.4191230255247625,0.2976887794956488
Multi-Quality,40,0.34232223243000004,0.20005577217857734,0.20321154375024006,0.4919454011027285,0.3689405894144912
Multi-Quality,60,0.35852987629807165,0.20979698090254062,0.2131536999182654,0.501800589695708,0.38514854699330153
Multi-Quality,80,0.36335143487327126,0.21363271303234696,0.21788975915969164,0.5031935621813167,0.39109899106824597
Multi-Quality,100,0.36176469986164,0.21271408612774348,0.21722915489231256,0.5036933018825692,0.3912414279288235
