epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.5437,1.72059,1.76288,1.00121,0.26384,0.19153,0.17808,0.09974,1.74148,inf,1.00158,0.0198519,0.0198519,0.0867654
2,119.648,1.89007,1.50583,1.03046,0.20777,0.19851,0.15231,0.07457,1.94801,2.13469,1.06454,0.0394573,0.0394573,0.0730376
3,171.368,1.921,1.54138,1.03742,0.16709,0.16049,0.10744,0.05049,2.11551,2.41102,1.15723,0.0586668,0.0586668,0.0589137
4,223.528,1.79995,1.38438,1.0087,0.28659,0.19862,0.17588,0.09693,1.68845,1.50998,0.99193,0.058218,0.058218,0.058218
5,274.845,1.67799,1.25233,0.98282,0.3221,0.25178,0.2274,0.12578,1.5928,1.31753,0.96233,0.057624,0.057624,0.057624
6,326.098,1.62491,1.18003,0.96107,0.38915,0.28859,0.28411,0.16214,1.5108,1.11626,0.94242,0.05703,0.05703,0.05703
7,377.404,1.58655,1.13784,0.94976,0.38958,0.30354,0.2964,0.16902,1.47739,1.10448,0.93266,0.056436,0.056436,0.056436
8,429.54,1.55055,1.10359,0.9432,0.42222,0.31952,0.31021,0.17448,1.47014,1.05923,0.93006,0.055842,0.055842,0.055842
9,480.888,1.53308,1.08713,0.93652,0.41375,0.32341,0.31612,0.18422,1.40665,1.04474,0.91896,0.055248,0.055248,0.055248
10,532.176,1.51491,1.06043,0.93278,0.45894,0.34607,0.34528,0.20041,1.39866,0.989,0.91298,0.054654,0.054654,0.054654
11,583.72,1.48526,1.03244,0.9262,0.45985,0.34125,0.34708,0.20229,1.38939,0.99725,0.90837,0.05406,0.05406,0.05406
12,635.493,1.47674,1.02547,0.92343,0.46378,0.35267,0.35386,0.20607,1.38864,0.98608,0.90798,0.053466,0.053466,0.053466
13,687.313,1.47225,1.01292,0.91997,0.47256,0.3589,0.36467,0.21365,1.3749,0.97143,0.90734,0.052872,0.052872,0.052872
14,738.764,1.4506,0.992,0.91939,0.46399,0.36954,0.37126,0.21782,1.35426,0.95101,0.90224,0.052278,0.052278,0.052278
15,790.288,1.4526,0.98343,0.91354,0.48993,0.37476,0.38221,0.22572,1.34635,0.94248,0.89839,0.051684,0.051684,0.051684
16,841.682,1.4307,0.9747,0.91263,0.46261,0.37174,0.37388,0.22133,1.33994,0.95091,0.89681,0.05109,0.05109,0.05109
17,892.59,1.43681,0.97916,0.91224,0.49801,0.36216,0.3813,0.22461,1.35023,0.9422,0.89626,0.050496,0.050496,0.050496
18,943.925,1.43576,0.96934,0.91204,0.49067,0.3798,0.38412,0.22556,1.34308,0.93802,0.89714,0.049902,0.049902,0.049902
19,994.975,1.41423,0.94846,0.90623,0.49556,0.36934,0.38258,0.22513,1.34099,0.92594,0.89678,0.049308,0.049308,0.049308
20,1046.11,1.40848,0.94481,0.90577,0.48914,0.38802,0.39236,0.23163,1.32493,0.9197,0.89178,0.048714,0.048714,0.048714
21,1097.77,1.40928,0.94491,0.90551,0.49321,0.37705,0.39073,0.23068,1.33097,0.91991,0.89312,0.04812,0.04812,0.04812
22,1149.1,1.40129,0.93285,0.90152,0.5056,0.37566,0.38857,0.22935,1.32247,0.91353,0.89153,0.047526,0.047526,0.047526
23,1200.38,1.40369,0.92964,0.89953,0.52446,0.38217,0.40236,0.23939,1.30756,0.90401,0.88906,0.046932,0.046932,0.046932
24,1251.84,1.39391,0.91954,0.89801,0.49914,0.38891,0.40048,0.23963,1.30303,0.90305,0.88548,0.046338,0.046338,0.046338
25,1303.47,1.3912,0.9165,0.89778,0.51381,0.38415,0.40062,0.23916,1.30581,0.90019,0.88945,0.045744,0.045744,0.045744
26,1354.62,1.37792,0.90744,0.89716,0.50195,0.39127,0.39771,0.23937,1.3032,0.90136,0.88664,0.04515,0.04515,0.04515
27,1405.4,1.37481,0.90184,0.89715,0.50335,0.39157,0.40722,0.24626,1.29559,0.88966,0.88506,0.044556,0.044556,0.044556
28,1457.27,1.37772,0.90398,0.89603,0.51676,0.39798,0.4101,0.24476,1.29381,0.88082,0.8842,0.043962,0.043962,0.043962
29,1508.26,1.36431,0.89389,0.8946,0.50975,0.39661,0.41328,0.24802,1.28957,0.88017,0.88568,0.043368,0.043368,0.043368
30,1559.72,1.36502,0.88806,0.89137,0.50514,0.40172,0.41409,0.24682,1.28774,0.8759,0.88333,0.042774,0.042774,0.042774
31,1610.89,1.36519,0.88841,0.89073,0.51662,0.40023,0.41745,0.25047,1.28541,0.87648,0.88264,0.04218,0.04218,0.04218
32,1662.49,1.36278,0.88447,0.89069,0.53142,0.39812,0.4163,0.25172,1.27746,0.86973,0.88261,0.041586,0.041586,0.041586
33,1714.17,1.34464,0.87147,0.8897,0.53038,0.39996,0.41829,0.25033,1.28234,0.87291,0.88106,0.040992,0.040992,0.040992
34,1765.24,1.34934,0.8713,0.88923,0.53568,0.39811,0.4199,0.25406,1.27561,0.86594,0.8824,0.040398,0.040398,0.040398
35,1816.61,1.34123,0.86299,0.88767,0.52489,0.40299,0.42066,0.2543,1.27139,0.86197,0.88105,0.039804,0.039804,0.039804
36,1867.84,1.34303,0.86091,0.88981,0.52831,0.40608,0.4225,0.25439,1.27149,0.86592,0.881,0.03921,0.03921,0.03921
37,1919.18,1.33597,0.85753,0.88608,0.53662,0.40213,0.42393,0.25552,1.27,0.8595,0.88035,0.038616,0.038616,0.038616
38,1970.43,1.34294,0.86058,0.88783,0.51991,0.4152,0.42887,0.25818,1.2711,0.86156,0.87931,0.038022,0.038022,0.038022
39,2021.88,1.33752,0.85504,0.88709,0.53521,0.41642,0.43246,0.26023,1.26074,0.85326,0.87927,0.037428,0.037428,0.037428
40,2073.19,1.33358,0.84913,0.88726,0.53239,0.40873,0.42662,0.25709,1.26538,0.8559,0.87739,0.036834,0.036834,0.036834
41,2124.19,1.33132,0.8451,0.88456,0.5437,0.40427,0.42726,0.25749,1.26775,0.85668,0.87912,0.03624,0.03624,0.03624
42,2175.38,1.3243,0.84209,0.8831,0.52886,0.41747,0.43233,0.26134,1.26232,0.84977,0.87682,0.035646,0.035646,0.035646
43,2226.55,1.32295,0.83502,0.88117,0.53063,0.41347,0.43146,0.26104,1.25979,0.85066,0.87725,0.035052,0.035052,0.035052
44,2277.57,1.31423,0.826,0.87955,0.52044,0.41575,0.43269,0.26059,1.25861,0.84791,0.87634,0.034458,0.034458,0.034458
45,2328.61,1.30631,0.82331,0.87962,0.5297,0.41833,0.43467,0.26192,1.25674,0.8396,0.87602,0.033864,0.033864,0.033864
46,2379.73,1.31348,0.825,0.88143,0.52391,0.42727,0.43674,0.26349,1.24868,0.84121,0.87466,0.03327,0.03327,0.03327
47,2431.04,1.29973,0.81879,0.87706,0.53512,0.41948,0.43562,0.26377,1.2487,0.84292,0.87484,0.032676,0.032676,0.032676
48,2482.27,1.30085,0.81452,0.87909,0.52828,0.42065,0.4385,0.26603,1.2542,0.83732,0.87451,0.032082,0.032082,0.032082
49,2533.62,1.30314,0.81196,0.87809,0.53072,0.41965,0.43795,0.26503,1.25209,0.83737,0.87477,0.031488,0.031488,0.031488
50,2584.54,1.2971,0.80312,0.8772,0.5369,0.42376,0.44177,0.2673,1.24925,0.83567,0.87372,0.030894,0.030894,0.030894
51,2635.94,1.29404,0.80131,0.87684,0.54048,0.4232,0.44192,0.26871,1.24735,0.82987,0.87323,0.0303,0.0303,0.0303
