epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2131.99,1.62662,1.32254,0.96181,0.36757,0.27017,0.24965,0.13841,1.60296,1.28483,0.94545,0.0199704,0.0199704,0.0866864
2,2372.77,1.66546,1.19926,0.96361,0.35315,0.25275,0.23974,0.13539,1.55875,1.32445,0.9573,0.0395747,0.0395747,0.0729574
3,2612.61,1.61742,1.1585,0.9588,0.40531,0.32485,0.3131,0.17624,1.47394,1.06601,0.93184,0.058783,0.058783,0.0588323
4,2853.01,1.54491,1.07773,0.93964,0.45595,0.35378,0.3529,0.20556,1.39338,0.9797,0.90908,0.058218,0.058218,0.058218
5,3092.74,1.48625,1.01198,0.92271,0.51396,0.35537,0.37602,0.22274,1.35335,0.9551,0.89672,0.057624,0.057624,0.057624
6,3333.03,1.45519,0.97638,0.91371,0.50733,0.37535,0.39409,0.2341,1.3147,0.90826,0.88907,0.05703,0.05703,0.05703
7,3573.87,1.43679,0.94705,0.90763,0.51364,0.39636,0.41281,0.2453,1.30456,0.88955,0.88544,0.056436,0.056436,0.056436
8,3814.5,1.41916,0.92834,0.90354,0.51989,0.40441,0.41562,0.24732,1.28544,0.87605,0.88295,0.055842,0.055842,0.055842
9,4054.65,1.40419,0.91091,0.89979,0.51543,0.40866,0.42178,0.25117,1.2768,0.86939,0.8786,0.055248,0.055248,0.055248
10,4294.92,1.39876,0.90104,0.89698,0.5435,0.4106,0.43262,0.26054,1.26587,0.85161,0.87828,0.054654,0.054654,0.054654
11,4535.08,1.38992,0.8864,0.89512,0.53743,0.4127,0.43191,0.26048,1.25993,0.85133,0.87573,0.05406,0.05406,0.05406
12,4775.31,1.38135,0.87822,0.89421,0.54271,0.41827,0.43971,0.2658,1.24855,0.83952,0.87329,0.053466,0.053466,0.053466
13,5016.15,1.37489,0.86862,0.89224,0.5503,0.41936,0.4446,0.26815,1.245,0.8367,0.87253,0.052872,0.052872,0.052872
14,5256.55,1.37082,0.86231,0.89089,0.54715,0.42542,0.4434,0.26722,1.24174,0.83421,0.87243,0.052278,0.052278,0.052278
15,5497.05,1.36705,0.85592,0.88972,0.5505,0.43609,0.45025,0.27231,1.23997,0.82801,0.87192,0.051684,0.051684,0.051684
16,5737.29,1.3563,0.84632,0.88863,0.55062,0.43086,0.4489,0.27199,1.23511,0.82517,0.87072,0.05109,0.05109,0.05109
17,5977.75,1.35365,0.83955,0.88689,0.55202,0.43257,0.45214,0.27397,1.23344,0.82558,0.8697,0.050496,0.050496,0.050496
18,6217.52,1.34893,0.8344,0.88654,0.55654,0.43613,0.45581,0.27492,1.23081,0.82148,0.86969,0.049902,0.049902,0.049902
19,6458.25,1.34934,0.83011,0.88427,0.54957,0.43934,0.45442,0.27482,1.22897,0.82021,0.86972,0.049308,0.049308,0.049308
20,6698.16,1.33919,0.81913,0.88324,0.54818,0.44027,0.45441,0.27538,1.22633,0.82081,0.86948,0.048714,0.048714,0.048714
21,6938.53,1.33603,0.81643,0.88289,0.55114,0.44398,0.4573,0.27799,1.22366,0.818,0.86875,0.04812,0.04812,0.04812
22,7179.09,1.32879,0.80947,0.88189,0.55318,0.44436,0.45842,0.27823,1.22118,0.81808,0.86816,0.047526,0.047526,0.047526
23,7420.13,1.32526,0.80269,0.88067,0.54971,0.44753,0.45919,0.279,1.2208,0.81868,0.8683,0.046932,0.046932,0.046932
24,7660.8,1.32346,0.80016,0.88008,0.54801,0.44602,0.4587,0.27883,1.22069,0.81908,0.86834,0.046338,0.046338,0.046338
25,7901.01,1.31808,0.79449,0.87927,0.55027,0.44861,0.45898,0.27878,1.22005,0.81927,0.86824,0.045744,0.045744,0.045744
26,8140.72,1.31309,0.7884,0.87883,0.55741,0.44758,0.45986,0.27885,1.21956,0.81857,0.8683,0.04515,0.04515,0.04515
27,8380.81,1.3144,0.78801,0.87847,0.55492,0.44945,0.46016,0.27927,1.21898,0.81792,0.86828,0.044556,0.044556,0.044556
28,8620.65,1.30422,0.77891,0.87686,0.56107,0.44614,0.46009,0.27977,1.2188,0.81777,0.86816,0.043962,0.043962,0.043962
29,8860.85,1.30503,0.77758,0.87673,0.55314,0.45159,0.46077,0.28017,1.21849,0.81789,0.86802,0.043368,0.043368,0.043368
30,9101.6,1.30093,0.77207,0.87541,0.55745,0.44952,0.46108,0.28023,1.21869,0.8177,0.86807,0.042774,0.042774,0.042774
31,9342.58,1.29937,0.76855,0.8744,0.56127,0.44831,0.46119,0.28022,1.21865,0.81781,0.868,0.04218,0.04218,0.04218
32,9582.96,1.29489,0.76687,0.87587,0.55829,0.44964,0.46065,0.28032,1.21861,0.81762,0.86805,0.041586,0.041586,0.041586
33,9823.21,1.2917,0.76086,0.87357,0.55922,0.44845,0.46101,0.28059,1.21818,0.8174,0.86824,0.040992,0.040992,0.040992
34,10064,1.28959,0.75711,0.87226,0.55665,0.44949,0.46126,0.28078,1.21801,0.81739,0.86828,0.040398,0.040398,0.040398
35,10304.2,1.28268,0.75457,0.87261,0.55583,0.4486,0.46141,0.28102,1.21789,0.81701,0.86831,0.039804,0.039804,0.039804
36,10544.6,1.28322,0.74953,0.87199,0.55642,0.44876,0.4617,0.28079,1.21736,0.81684,0.8682,0.03921,0.03921,0.03921
37,10785,1.27537,0.74407,0.87083,0.5601,0.44761,0.46159,0.28101,1.21737,0.81677,0.86821,0.038616,0.038616,0.038616
38,11025.7,1.27738,0.74385,0.86992,0.56126,0.44697,0.46187,0.281,1.21761,0.81712,0.86824,0.038022,0.038022,0.038022
39,11265.6,1.26988,0.73671,0.86912,0.5594,0.44739,0.462,0.28134,1.21764,0.81773,0.8682,0.037428,0.037428,0.037428
40,11506,1.26741,0.73355,0.86864,0.55979,0.44788,0.46185,0.28085,1.21782,0.8183,0.8682,0.036834,0.036834,0.036834
41,11746,1.26512,0.73212,0.86874,0.55876,0.44898,0.46174,0.28082,1.21797,0.81882,0.86823,0.03624,0.03624,0.03624
42,11986.2,1.25997,0.72759,0.86773,0.55764,0.44658,0.46138,0.28049,1.21789,0.81904,0.86824,0.035646,0.035646,0.035646
43,12226,1.25583,0.72186,0.86651,0.5557,0.44738,0.46111,0.28051,1.21792,0.81975,0.86822,0.035052,0.035052,0.035052
44,12466.4,1.25349,0.72099,0.86585,0.55312,0.44998,0.46127,0.28059,1.21819,0.82008,0.86824,0.034458,0.034458,0.034458
45,12706.5,1.25469,0.7185,0.86539,0.55249,0.44913,0.46122,0.28057,1.21876,0.82109,0.86835,0.033864,0.033864,0.033864
46,12946.6,1.24602,0.71248,0.86435,0.55499,0.44909,0.46128,0.28029,1.21908,0.82167,0.86831,0.03327,0.03327,0.03327
47,13186.3,1.24391,0.70905,0.86431,0.55998,0.44659,0.46143,0.28038,1.21949,0.82182,0.8684,0.032676,0.032676,0.032676
48,13425.8,1.24064,0.70666,0.86379,0.56099,0.44597,0.46127,0.28027,1.21992,0.82249,0.86854,0.032082,0.032082,0.032082
49,13666.1,1.23894,0.70438,0.86274,0.56001,0.44708,0.46115,0.28024,1.22003,0.82312,0.86863,0.031488,0.031488,0.031488
50,13906.3,1.23348,0.69934,0.86162,0.56614,0.44344,0.46091,0.28025,1.22041,0.82351,0.86862,0.030894,0.030894,0.030894
51,14146.8,1.23058,0.6954,0.86088,0.56509,0.44441,0.46058,0.28006,1.22094,0.82391,0.86877,0.0303,0.0303,0.0303
52,14387.1,1.22682,0.69247,0.86009,0.56681,0.44123,0.46017,0.28003,1.2213,0.82461,0.86896,0.029706,0.029706,0.029706
53,14627.2,1.22169,0.68686,0.85988,0.55988,0.44452,0.46032,0.27966,1.22202,0.82479,0.86916,0.029112,0.029112,0.029112
54,14867.4,1.21647,0.68244,0.8584,0.558,0.44598,0.4601,0.27971,1.22223,0.82525,0.86925,0.028518,0.028518,0.028518
55,15106.8,1.21506,0.68024,0.85705,0.55918,0.446,0.4595,0.27964,1.22279,0.82569,0.86933,0.027924,0.027924,0.027924
56,15346.6,1.20799,0.67714,0.85831,0.55976,0.44358,0.45962,0.27956,1.22317,0.82614,0.86947,0.02733,0.02733,0.02733
57,15587.4,1.20996,0.67584,0.85666,0.56161,0.4419,0.45932,0.27922,1.22398,0.82706,0.86974,0.026736,0.026736,0.026736
58,15827.5,1.20529,0.67085,0.85568,0.56604,0.43871,0.45888,0.27876,1.22465,0.82747,0.86986,0.026142,0.026142,0.026142
59,16067.6,1.20026,0.66634,0.85444,0.5688,0.4363,0.45874,0.27882,1.22556,0.82824,0.86995,0.025548,0.025548,0.025548
60,16307.7,1.19518,0.66146,0.85283,0.5658,0.43796,0.45823,0.2787,1.22629,0.82918,0.86999,0.024954,0.024954,0.024954
61,16548.1,1.18923,0.65852,0.85264,0.56538,0.43682,0.45787,0.27858,1.227,0.83008,0.87003,0.02436,0.02436,0.02436
62,16788.6,1.18629,0.65489,0.85247,0.56405,0.43704,0.45781,0.27861,1.22721,0.83063,0.87009,0.023766,0.023766,0.023766
63,17028.7,1.18413,0.65259,0.85145,0.56924,0.43379,0.45786,0.27877,1.22746,0.8314,0.87013,0.023172,0.023172,0.023172
64,17268.6,1.1762,0.64606,0.85015,0.5627,0.43657,0.4573,0.27864,1.2282,0.8327,0.87031,0.022578,0.022578,0.022578
65,17509.5,1.17807,0.64563,0.84936,0.55943,0.43752,0.45688,0.27816,1.22872,0.83311,0.87038,0.021984,0.021984,0.021984
66,17749.6,1.1697,0.64118,0.84945,0.55995,0.43779,0.45689,0.27804,1.22943,0.83352,0.87055,0.02139,0.02139,0.02139
67,17989.6,1.16477,0.63611,0.84838,0.55975,0.43628,0.45649,0.27772,1.23021,0.83474,0.87084,0.020796,0.020796,0.020796
68,18229.8,1.16315,0.63441,0.8478,0.56256,0.43415,0.45576,0.27722,1.23095,0.83611,0.87098,0.020202,0.020202,0.020202
69,18469.8,1.16207,0.63284,0.84626,0.56503,0.43147,0.45545,0.27723,1.23167,0.83735,0.8711,0.019608,0.019608,0.019608
70,18710,1.15425,0.62624,0.84561,0.56648,0.431,0.45478,0.27683,1.23245,0.83836,0.87127,0.019014,0.019014,0.019014
71,18950.1,1.14695,0.62027,0.84446,0.56368,0.43367,0.45422,0.27624,1.23333,0.84016,0.87141,0.01842,0.01842,0.01842
72,19190.7,1.14476,0.6172,0.84376,0.56237,0.43459,0.45394,0.27589,1.23416,0.84181,0.87153,0.017826,0.017826,0.017826
73,19431.3,1.13879,0.61349,0.84267,0.56389,0.43417,0.45307,0.27538,1.2346,0.84309,0.87159,0.017232,0.017232,0.017232
74,19671.9,1.1391,0.61148,0.84102,0.56527,0.43334,0.45287,0.27498,1.2356,0.84487,0.8717,0.016638,0.016638,0.016638
75,19912.2,1.13041,0.607,0.841,0.56363,0.43354,0.45224,0.27443,1.23643,0.84624,0.87164,0.016044,0.016044,0.016044
76,20152.2,1.12432,0.60206,0.83974,0.56424,0.43097,0.45074,0.27404,1.23752,0.84851,0.87172,0.01545,0.01545,0.01545
77,20392.1,1.11601,0.59575,0.83811,0.56302,0.43214,0.45089,0.27374,1.23866,0.85059,0.87184,0.014856,0.014856,0.014856
78,20632.3,1.11507,0.59355,0.83798,0.56454,0.43186,0.45006,0.27314,1.23969,0.85261,0.87195,0.014262,0.014262,0.014262
79,20872.3,1.10755,0.58828,0.83693,0.56589,0.43001,0.44904,0.27296,1.24082,0.85483,0.8722,0.013668,0.013668,0.013668
80,21112.3,1.1023,0.58501,0.83566,0.56528,0.42915,0.44854,0.27272,1.24217,0.85696,0.8724,0.013074,0.013074,0.013074
81,21351.8,1.09395,0.5787,0.83508,0.56718,0.42786,0.44792,0.27215,1.24401,0.86006,0.8727,0.01248,0.01248,0.01248
82,21592.2,1.08526,0.57204,0.83314,0.56595,0.42666,0.44715,0.27157,1.2455,0.86253,0.87291,0.011886,0.011886,0.011886
83,21832.7,1.08366,0.56974,0.83225,0.56256,0.42756,0.44671,0.27114,1.2467,0.86615,0.87301,0.011292,0.011292,0.011292
84,22072.4,1.07482,0.56395,0.83111,0.56192,0.428,0.44562,0.27038,1.24821,0.86897,0.8731,0.010698,0.010698,0.010698
85,22313.6,1.06839,0.55864,0.82976,0.56465,0.42449,0.44512,0.26953,1.24994,0.87254,0.87336,0.010104,0.010104,0.010104
86,22554.1,1.06117,0.55373,0.82823,0.56303,0.4253,0.4437,0.26866,1.25141,0.87556,0.87346,0.00951,0.00951,0.00951
87,22794.7,1.0588,0.55048,0.82705,0.56553,0.42297,0.44314,0.26817,1.25305,0.87878,0.87361,0.008916,0.008916,0.008916
