epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,295.815,1.64576,1.31585,0.96271,0.32618,0.26272,0.19303,0.10467,1.65019,1.3786,0.9684,0.0199704,0.0199704,0.0866864
2,566.917,1.7022,1.22925,0.97145,0.37332,0.29035,0.24673,0.13279,1.58662,1.20409,0.94478,0.0395747,0.0395747,0.0729574
3,826.847,1.65247,1.18276,0.96564,0.35528,0.27787,0.23525,0.12457,1.57377,1.19721,0.95763,0.058783,0.058783,0.0588323
4,1080.63,1.57835,1.10366,0.94744,0.43145,0.33787,0.31705,0.18128,1.40718,1.01775,0.91216,0.058218,0.058218,0.058218
5,1330.92,1.51858,1.03585,0.92934,0.48147,0.36076,0.34808,0.1993,1.35793,0.96557,0.90369,0.057624,0.057624,0.057624
6,1582.02,1.4837,0.99921,0.9199,0.47925,0.38251,0.35719,0.20667,1.33451,0.94513,0.89757,0.05703,0.05703,0.05703
7,1833.82,1.46499,0.97062,0.91283,0.50705,0.38666,0.37925,0.21961,1.31177,0.9202,0.88868,0.056436,0.056436,0.056436
8,2083.73,1.44707,0.95258,0.90908,0.51765,0.39526,0.38863,0.22816,1.29824,0.89428,0.88731,0.055842,0.055842,0.055842
9,2330.86,1.43321,0.93578,0.90563,0.5298,0.38933,0.39094,0.23098,1.28016,0.88857,0.88283,0.055248,0.055248,0.055248
10,2581.76,1.42835,0.92792,0.90213,0.5236,0.4103,0.40319,0.23545,1.28833,0.87191,0.88332,0.054654,0.054654,0.054654
11,2827.18,1.41795,0.91346,0.90074,0.52467,0.40471,0.4005,0.23565,1.27123,0.86652,0.88074,0.05406,0.05406,0.05406
12,3077.53,1.41009,0.90629,0.89956,0.54003,0.41568,0.41469,0.2431,1.26597,0.85703,0.87833,0.053466,0.053466,0.053466
13,3321.66,1.40343,0.89818,0.89709,0.53183,0.41852,0.41559,0.24522,1.25669,0.85018,0.87701,0.052872,0.052872,0.052872
14,3570.38,1.39949,0.88948,0.89613,0.53237,0.42839,0.41988,0.24844,1.25045,0.84309,0.87565,0.052278,0.052278,0.052278
15,3818.18,1.39185,0.88227,0.89439,0.54728,0.42552,0.4216,0.25078,1.24721,0.83958,0.87503,0.051684,0.051684,0.051684
16,4060.48,1.38392,0.87391,0.89297,0.53556,0.43433,0.42446,0.25231,1.24592,0.83696,0.87423,0.05109,0.05109,0.05109
17,4305.21,1.38357,0.87008,0.89148,0.55015,0.42981,0.42719,0.25382,1.23994,0.82898,0.8728,0.050496,0.050496,0.050496
18,4549.04,1.3768,0.86317,0.89151,0.54681,0.43487,0.42919,0.25427,1.23945,0.82906,0.87318,0.049902,0.049902,0.049902
19,4793.85,1.37793,0.86061,0.88968,0.54337,0.43441,0.42953,0.25479,1.2356,0.82854,0.87245,0.049308,0.049308,0.049308
20,5039.34,1.36856,0.8525,0.88891,0.55133,0.43446,0.43063,0.25551,1.23179,0.82784,0.87157,0.048714,0.048714,0.048714
21,5286.62,1.36305,0.84717,0.88834,0.5665,0.42567,0.43169,0.25604,1.22996,0.82587,0.87167,0.04812,0.04812,0.04812
22,5534.15,1.35716,0.84076,0.88755,0.56232,0.43232,0.43442,0.25839,1.22891,0.82438,0.8715,0.047526,0.047526,0.047526
