epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.5909,1.753,1.76319,1.00778,0.25129,0.19639,0.14042,0.07275,1.92072,1.5531,1.01522,0.0198519,0.0198519,0.0867654
2,110.745,1.9203,1.55467,1.03683,0.54852,0.10956,0.08737,0.0464,2.01097,1.87355,1.11968,0.0394573,0.0394573,0.0730376
3,161.778,1.95784,1.58389,1.04827,0.08805,0.14849,0.06118,0.03111,1.9721,3.17577,1.1365,0.0586668,0.0586668,0.0589137
4,213.246,1.83828,1.43675,1.02112,0.23576,0.21563,0.14775,0.07849,1.6772,1.57372,0.98636,0.058218,0.058218,0.058218
5,264.131,1.72741,1.30455,0.99698,0.32843,0.25997,0.21165,0.11466,1.57877,1.27406,0.95185,0.057624,0.057624,0.057624
6,315.127,1.66592,1.22568,0.97139,0.36309,0.28793,0.2472,0.13565,1.51597,1.17663,0.94329,0.05703,0.05703,0.05703
7,365.787,1.62717,1.18145,0.96054,0.37666,0.29802,0.25741,0.14161,1.51332,1.13004,0.93838,0.056436,0.056436,0.056436
8,416.77,1.5934,1.14887,0.95402,0.39573,0.32204,0.28394,0.15565,1.47135,1.07432,0.93044,0.055842,0.055842,0.055842
9,467.372,1.57296,1.12625,0.94586,0.40646,0.32275,0.28827,0.16184,1.43008,1.069,0.91599,0.055248,0.055248,0.055248
10,518.108,1.55703,1.10323,0.94396,0.43139,0.34434,0.30979,0.17416,1.4287,1.03097,0.91812,0.054654,0.054654,0.054654
11,568.933,1.52855,1.07768,0.93655,0.44868,0.33545,0.31024,0.17525,1.40844,1.01736,0.90841,0.05406,0.05406,0.05406
12,620.546,1.51599,1.06254,0.93318,0.43579,0.34564,0.31823,0.18136,1.39872,1.00592,0.91287,0.053466,0.053466,0.053466
13,671.35,1.50756,1.05002,0.92873,0.48172,0.35357,0.33887,0.1922,1.37858,0.98362,0.90558,0.052872,0.052872,0.052872
14,722.866,1.48819,1.03041,0.92852,0.4617,0.35567,0.33129,0.18976,1.36376,0.98318,0.90107,0.052278,0.052278,0.052278
15,773.297,1.48898,1.0211,0.92276,0.49309,0.35834,0.34851,0.19954,1.3631,0.95889,0.90483,0.051684,0.051684,0.051684
16,823.898,1.47479,1.01492,0.92392,0.46879,0.36371,0.34513,0.19809,1.35586,0.96685,0.89898,0.05109,0.05109,0.05109
17,874.14,1.47576,1.01365,0.921,0.478,0.37382,0.35139,0.20031,1.35875,0.95619,0.89985,0.050496,0.050496,0.050496
