epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.308,1.64425,1.32918,0.95348,0.33376,0.25786,0.20685,0.11495,1.61106,1.30224,0.95143,0.0199704,0.0199704,0.0866864
2,542.009,1.70694,1.26116,0.96495,0.35078,0.26476,0.20953,0.11831,1.59968,1.32187,0.94884,0.0395747,0.0395747,0.0729574
3,808.058,1.6517,1.20298,0.95742,0.40332,0.26998,0.23973,0.12952,1.53561,1.26104,0.94086,0.058783,0.058783,0.0588323
4,1074.09,1.57057,1.11457,0.93986,0.44961,0.34258,0.31637,0.17896,1.39499,1.02769,0.9088,0.058218,0.058218,0.058218
5,1339.99,1.50595,1.03926,0.92113,0.47595,0.37027,0.34959,0.2013,1.36026,0.97619,0.89425,0.057624,0.057624,0.057624
6,1605.28,1.46871,0.9977,0.91124,0.50768,0.38324,0.37112,0.21508,1.31433,0.93499,0.88498,0.05703,0.05703,0.05703
7,1871.96,1.4488,0.97014,0.90371,0.51692,0.39938,0.39289,0.2298,1.29284,0.90121,0.87886,0.056436,0.056436,0.056436
8,2137.59,1.43441,0.95128,0.90014,0.5152,0.41122,0.40405,0.237,1.2803,0.87891,0.87671,0.055842,0.055842,0.055842
9,2403.03,1.42217,0.93554,0.89602,0.53186,0.41061,0.40921,0.24249,1.2649,0.87059,0.8731,0.055248,0.055248,0.055248
10,2668.31,1.41035,0.92326,0.89479,0.52945,0.42197,0.41422,0.24287,1.25241,0.86141,0.87014,0.054654,0.054654,0.054654
11,2933.81,1.40366,0.91185,0.89143,0.54037,0.42728,0.42051,0.24787,1.24547,0.85211,0.86975,0.05406,0.05406,0.05406
12,3200.12,1.3977,0.90285,0.89098,0.55064,0.42728,0.42672,0.252,1.24161,0.84489,0.86728,0.053466,0.053466,0.053466
13,3466.57,1.39054,0.89255,0.88889,0.54632,0.44054,0.43301,0.2559,1.23419,0.83742,0.86642,0.052872,0.052872,0.052872
14,3732.04,1.38099,0.88447,0.88801,0.56003,0.43176,0.43487,0.25772,1.22895,0.83181,0.86439,0.052278,0.052278,0.052278
15,3998.38,1.37549,0.87386,0.88501,0.55534,0.44454,0.43977,0.26131,1.22029,0.82498,0.86388,0.051684,0.051684,0.051684
16,4264.37,1.36751,0.86717,0.88452,0.55264,0.44397,0.43954,0.26085,1.2206,0.82635,0.86327,0.05109,0.05109,0.05109
17,4529.41,1.36381,0.8599,0.88232,0.56105,0.4454,0.44349,0.26442,1.21435,0.82193,0.86164,0.050496,0.050496,0.050496
18,4795.53,1.36386,0.85638,0.88265,0.56415,0.44606,0.44457,0.26442,1.2136,0.82027,0.86232,0.049902,0.049902,0.049902
19,5060.8,1.35269,0.84655,0.88144,0.57025,0.44349,0.44328,0.2651,1.21036,0.81805,0.86187,0.049308,0.049308,0.049308
20,5326.61,1.35044,0.84257,0.88173,0.56413,0.44829,0.44515,0.26571,1.21003,0.81768,0.86182,0.048714,0.048714,0.048714
21,5592.74,1.34711,0.83645,0.87924,0.56046,0.45323,0.44497,0.26556,1.2077,0.81651,0.86177,0.04812,0.04812,0.04812
22,5858.08,1.34054,0.82836,0.87808,0.55401,0.45351,0.44419,0.26535,1.20567,0.81503,0.86118,0.047526,0.047526,0.047526
23,6124.02,1.34176,0.82603,0.87755,0.56073,0.44835,0.44509,0.26598,1.20468,0.81517,0.86082,0.046932,0.046932,0.046932
24,6388.97,1.33227,0.81892,0.87708,0.57023,0.44716,0.44492,0.26589,1.20457,0.81476,0.86072,0.046338,0.046338,0.046338
25,6654.2,1.33021,0.81509,0.87691,0.57841,0.44416,0.44666,0.2669,1.20431,0.81413,0.86066,0.045744,0.045744,0.045744
26,6920.57,1.32702,0.80962,0.87472,0.57608,0.44598,0.44674,0.26687,1.20339,0.8136,0.86041,0.04515,0.04515,0.04515
27,7186.47,1.32166,0.80252,0.87474,0.57283,0.4473,0.4468,0.26667,1.20313,0.8131,0.86049,0.044556,0.044556,0.044556
28,7452.03,1.31879,0.80031,0.87423,0.56491,0.45291,0.44651,0.26615,1.20321,0.81311,0.86045,0.043962,0.043962,0.043962
29,7718.05,1.3187,0.79601,0.87363,0.56378,0.45242,0.4464,0.26653,1.20247,0.813,0.86054,0.043368,0.043368,0.043368
30,7983.73,1.31246,0.78897,0.87165,0.56582,0.45241,0.44684,0.26624,1.20209,0.81298,0.8606,0.042774,0.042774,0.042774
