epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2958,1.75737,1.76549,0.98946,0.17968,0.2253,0.11863,0.06207,1.85652,4.1384,1.03998,0.0198519,0.0198519,0.0867654
2,141.344,1.98876,1.64353,1.04008,0.13396,0.09387,0.05329,0.02502,2.16842,3.74061,1.22705,0.0394573,0.0394573,0.0730376
3,200.042,1.99608,1.63967,1.05201,0.10517,0.13855,0.05859,0.03009,2.12028,2.96764,1.15307,0.0586668,0.0586668,0.0589137
4,258.526,1.86979,1.46346,1.02018,0.26419,0.14833,0.10308,0.05399,1.80348,1.99668,1.01528,0.058218,0.058218,0.058218
5,315.577,1.7198,1.30438,0.98307,0.32893,0.25012,0.20792,0.1131,1.59859,1.2683,0.96554,0.057624,0.057624,0.057624
6,372.895,1.64064,1.21616,0.9614,0.35312,0.27747,0.2353,0.12807,1.55781,1.22213,0.95156,0.05703,0.05703,0.05703
7,430.4,1.59991,1.16931,0.95157,0.38734,0.30204,0.26534,0.14879,1.46672,1.13715,0.92502,0.056436,0.056436,0.056436
8,488.434,1.57319,1.13946,0.9449,0.40329,0.31448,0.2832,0.16102,1.44848,1.12073,0.9233,0.055842,0.055842,0.055842
9,545.885,1.54311,1.11009,0.93551,0.43011,0.33885,0.30744,0.17246,1.43104,1.04318,0.91952,0.055248,0.055248,0.055248
10,603.197,1.52001,1.0816,0.92937,0.43321,0.33815,0.30784,0.17195,1.42569,1.04564,0.91394,0.054654,0.054654,0.054654
11,660.332,1.50772,1.06402,0.92625,0.44378,0.32892,0.30586,0.17386,1.39454,1.05698,0.90832,0.05406,0.05406,0.05406
12,718.423,1.4911,1.04632,0.92002,0.42647,0.35628,0.31947,0.18119,1.41102,1.05455,0.9108,0.053466,0.053466,0.053466
13,775.595,1.48356,1.03384,0.91979,0.46836,0.36414,0.3406,0.19378,1.3764,0.98841,0.89963,0.052872,0.052872,0.052872
14,832.75,1.46231,1.0167,0.91714,0.46598,0.36228,0.33951,0.19488,1.37076,0.98546,0.89913,0.052278,0.052278,0.052278
15,889.798,1.4585,1.00446,0.91322,0.47197,0.36698,0.34797,0.20011,1.36415,0.97637,0.89741,0.051684,0.051684,0.051684
16,947.259,1.45567,1.00342,0.91011,0.45053,0.37217,0.34587,0.20008,1.34305,0.97373,0.89518,0.05109,0.05109,0.05109
17,1004.21,1.45003,0.99385,0.91067,0.49587,0.36724,0.35687,0.20434,1.34857,0.95246,0.89856,0.050496,0.050496,0.050496
18,1061.62,1.43528,0.98953,0.90859,0.46968,0.36734,0.3475,0.20061,1.34644,0.9656,0.89568,0.049902,0.049902,0.049902
19,1118.54,1.42417,0.96795,0.90429,0.48638,0.37682,0.36422,0.2094,1.33532,0.94569,0.89328,0.049308,0.049308,0.049308
20,1176.09,1.42848,0.96859,0.90384,0.50022,0.38552,0.37396,0.21627,1.31853,0.92866,0.88929,0.048714,0.048714,0.048714
21,1233.81,1.41468,0.95409,0.90296,0.49392,0.39061,0.37628,0.21796,1.31538,0.92349,0.88565,0.04812,0.04812,0.04812
22,1291.59,1.40898,0.95577,0.89991,0.50258,0.38409,0.36551,0.21418,1.31107,0.92836,0.88656,0.047526,0.047526,0.047526
23,1348.54,1.40848,0.94685,0.90001,0.517,0.39075,0.38211,0.22251,1.31141,0.91811,0.88504,0.046932,0.046932,0.046932
24,1405.81,1.39515,0.93977,0.89843,0.52182,0.38937,0.38385,0.22442,1.29485,0.91443,0.88301,0.046338,0.046338,0.046338
25,1463.1,1.40039,0.9384,0.89727,0.50809,0.39212,0.38182,0.22303,1.29467,0.91029,0.88367,0.045744,0.045744,0.045744
26,1519.97,1.3861,0.92795,0.89537,0.51901,0.39927,0.38908,0.22667,1.29334,0.89994,0.88345,0.04515,0.04515,0.04515
27,1577.49,1.38608,0.92523,0.89544,0.51732,0.40112,0.39188,0.22935,1.28918,0.90067,0.88025,0.044556,0.044556,0.044556
28,1634.84,1.38383,0.91893,0.89283,0.53138,0.40027,0.39868,0.23318,1.2839,0.8978,0.87865,0.043962,0.043962,0.043962
29,1692.16,1.37654,0.9119,0.8932,0.51248,0.4079,0.39669,0.23158,1.28343,0.8942,0.88039,0.043368,0.043368,0.043368
30,1749.59,1.37099,0.90859,0.89037,0.51238,0.4043,0.39114,0.22979,1.27795,0.89655,0.87743,0.042774,0.042774,0.042774
31,1806.58,1.38135,0.91153,0.89016,0.51745,0.41053,0.4031,0.23639,1.2808,0.88803,0.87912,0.04218,0.04218,0.04218
32,1864.42,1.35829,0.88981,0.88632,0.53479,0.40549,0.40329,0.23757,1.27274,0.88515,0.87837,0.041586,0.041586,0.041586
33,1921.91,1.35777,0.89315,0.8895,0.53958,0.40771,0.40634,0.23686,1.27073,0.87582,0.8773,0.040992,0.040992,0.040992
34,1978.69,1.34911,0.8882,0.88822,0.52412,0.41728,0.40741,0.24045,1.26194,0.8729,0.87441,0.040398,0.040398,0.040398
35,2035.89,1.35574,0.88931,0.88809,0.53825,0.41462,0.41073,0.24195,1.261,0.87435,0.87644,0.039804,0.039804,0.039804
36,2092.8,1.34712,0.87874,0.88676,0.54549,0.41688,0.41812,0.24437,1.25927,0.86198,0.87445,0.03921,0.03921,0.03921
37,2150.04,1.34186,0.87639,0.88584,0.52882,0.42354,0.41385,0.24315,1.25551,0.86666,0.87387,0.038616,0.038616,0.038616
38,2207.14,1.34775,0.87716,0.8856,0.53546,0.41476,0.41455,0.24442,1.2604,0.86621,0.87394,0.038022,0.038022,0.038022
39,2264.41,1.33812,0.86795,0.88409,0.54698,0.41572,0.41583,0.24467,1.24959,0.86357,0.87244,0.037428,0.037428,0.037428
40,2321.78,1.33784,0.86616,0.88266,0.54518,0.42302,0.41908,0.24578,1.25888,0.86311,0.87405,0.036834,0.036834,0.036834
41,2378.82,1.33448,0.86447,0.88115,0.55938,0.42138,0.42445,0.25162,1.24715,0.85107,0.87249,0.03624,0.03624,0.03624
42,2436.97,1.32436,0.85645,0.88127,0.54788,0.42279,0.42061,0.24932,1.24791,0.8503,0.87159,0.035646,0.035646,0.035646
43,2494.08,1.31474,0.85054,0.87832,0.54644,0.4301,0.42656,0.25205,1.2422,0.84395,0.87097,0.035052,0.035052,0.035052
44,2551.11,1.32909,0.85459,0.88105,0.55228,0.42939,0.42699,0.2533,1.2378,0.83904,0.87061,0.034458,0.034458,0.034458
45,2608.41,1.31975,0.84462,0.87685,0.5528,0.42069,0.42108,0.2491,1.24339,0.84677,0.87112,0.033864,0.033864,0.033864
46,2665.49,1.30962,0.84052,0.87933,0.5354,0.43213,0.42543,0.25183,1.23746,0.84131,0.87004,0.03327,0.03327,0.03327
47,2722.3,1.30487,0.83758,0.87607,0.53874,0.42657,0.42576,0.25246,1.23839,0.84003,0.87014,0.032676,0.032676,0.032676
48,2779.56,1.31463,0.83715,0.87846,0.55177,0.42986,0.4294,0.25526,1.23318,0.83795,0.86884,0.032082,0.032082,0.032082
49,2836.79,1.30867,0.82974,0.87611,0.547,0.43664,0.43376,0.25603,1.23881,0.83447,0.86945,0.031488,0.031488,0.031488
50,2893.78,1.30029,0.82757,0.87481,0.54075,0.44105,0.43218,0.25491,1.23348,0.83318,0.86919,0.030894,0.030894,0.030894
51,2950.61,1.29294,0.82317,0.875,0.55001,0.43785,0.43359,0.25772,1.23114,0.83062,0.86888,0.0303,0.0303,0.0303
52,3008.52,1.30543,0.82397,0.8745,0.55537,0.43515,0.43505,0.25774,1.23074,0.83085,0.86868,0.029706,0.029706,0.029706
53,3066.39,1.29141,0.81742,0.87452,0.56066,0.43577,0.43596,0.25944,1.23023,0.82866,0.86777,0.029112,0.029112,0.029112
54,3123.67,1.29976,0.81729,0.87208,0.55975,0.4247,0.43106,0.25707,1.22863,0.83304,0.86788,0.028518,0.028518,0.028518
55,3180.46,1.28264,0.80551,0.87382,0.55505,0.43429,0.4333,0.25801,1.22331,0.83123,0.86669,0.027924,0.027924,0.027924
56,3237.34,1.28653,0.80337,0.87139,0.55574,0.43678,0.43501,0.2577,1.22666,0.82883,0.86698,0.02733,0.02733,0.02733
57,3294.34,1.28718,0.80212,0.87304,0.54992,0.44283,0.4392,0.25946,1.22544,0.82477,0.86659,0.026736,0.026736,0.026736
