epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.786,1.64209,1.34001,0.96729,0.38642,0.29103,0.24744,0.13269,1.57959,1.21454,0.93486,0.0199704,0.0199704,0.0866864
2,473.101,1.67985,1.21767,0.9681,0.34997,0.24714,0.21885,0.11949,1.58099,1.28409,0.96041,0.0395747,0.0395747,0.0729574
3,707.594,1.63259,1.17472,0.96304,0.42149,0.31629,0.28978,0.16012,1.47299,1.08494,0.93063,0.058783,0.058783,0.0588323
4,942.564,1.5606,1.09417,0.94376,0.44533,0.3483,0.31827,0.18077,1.40712,1.01124,0.91075,0.058218,0.058218,0.058218
5,1176.84,1.50161,1.02771,0.92678,0.4789,0.36433,0.35164,0.20313,1.34422,0.9516,0.89765,0.057624,0.057624,0.057624
6,1410.97,1.47035,0.99184,0.91777,0.48522,0.37663,0.36337,0.2114,1.31677,0.91847,0.88971,0.05703,0.05703,0.05703
7,1645.85,1.4524,0.96261,0.91165,0.48406,0.40226,0.38171,0.2215,1.30366,0.90342,0.88699,0.056436,0.056436,0.056436
8,1880.9,1.43517,0.94487,0.90745,0.51646,0.39771,0.39027,0.22765,1.28568,0.88639,0.88267,0.055842,0.055842,0.055842
9,2115.22,1.41945,0.92689,0.90411,0.52638,0.39932,0.39391,0.23007,1.28673,0.87996,0.88139,0.055248,0.055248,0.055248
10,2350.68,1.41492,0.91671,0.90074,0.53233,0.40469,0.40403,0.23651,1.26897,0.85935,0.8778,0.054654,0.054654,0.054654
11,2585.42,1.40528,0.90201,0.89915,0.53692,0.4079,0.40751,0.239,1.25888,0.85578,0.8767,0.05406,0.05406,0.05406
12,2821.3,1.39652,0.89291,0.89775,0.55327,0.41362,0.41609,0.24433,1.25527,0.85159,0.87543,0.053466,0.053466,0.053466
13,3056.52,1.39047,0.8847,0.89608,0.53688,0.42295,0.41543,0.24474,1.25039,0.84617,0.87492,0.052872,0.052872,0.052872
14,3291.82,1.38761,0.87867,0.89516,0.53219,0.41859,0.41134,0.24209,1.24283,0.84325,0.87392,0.052278,0.052278,0.052278
15,3526.21,1.38352,0.87205,0.89403,0.53763,0.42583,0.41727,0.24539,1.24401,0.84141,0.87288,0.051684,0.051684,0.051684
16,3762.2,1.3727,0.86255,0.89267,0.53227,0.43126,0.42061,0.24768,1.24176,0.83738,0.87262,0.05109,0.05109,0.05109
17,3998.71,1.36989,0.85639,0.89103,0.55405,0.43074,0.42282,0.25014,1.2343,0.83269,0.87112,0.050496,0.050496,0.050496
18,4233.56,1.36575,0.8507,0.89068,0.55475,0.43164,0.42643,0.25297,1.22945,0.82859,0.87053,0.049902,0.049902,0.049902
19,4468.34,1.36547,0.84664,0.88811,0.55959,0.43144,0.42777,0.25341,1.22943,0.83011,0.86971,0.049308,0.049308,0.049308
20,4703.04,1.35476,0.83642,0.88719,0.55515,0.43241,0.42718,0.25369,1.22503,0.82881,0.86834,0.048714,0.048714,0.048714
21,4938.73,1.35205,0.83311,0.8871,0.55681,0.43293,0.4294,0.25517,1.22409,0.82848,0.86788,0.04812,0.04812,0.04812
22,5174.44,1.34467,0.82578,0.88621,0.55633,0.43775,0.43121,0.2561,1.22132,0.8274,0.8677,0.047526,0.047526,0.047526
