epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0971,1.72163,1.7729,1.00152,0.29269,0.18859,0.14746,0.08085,1.81168,1.85973,1.00181,0.0198519,0.0198519,0.0867654
2,108.005,1.88206,1.4974,1.02869,0.17421,0.1378,0.07417,0.03973,2.03136,1.96158,1.1625,0.0394573,0.0394573,0.0730376
3,159.499,1.92387,1.56165,1.0432,0.17668,0.12298,0.08198,0.03995,1.95699,2.41249,1.10799,0.0586668,0.0586668,0.0589137
4,211.555,1.80235,1.38111,1.01222,0.27385,0.1905,0.14316,0.07348,1.69934,1.47236,1.01143,0.058218,0.058218,0.058218
5,261.844,1.67816,1.25191,0.98464,0.32503,0.2516,0.20288,0.11055,1.54573,1.29484,0.95841,0.057624,0.057624,0.057624
6,312.599,1.62364,1.18381,0.96144,0.40152,0.30984,0.27668,0.15495,1.48841,1.1102,0.93741,0.05703,0.05703,0.05703
7,363.355,1.58533,1.13792,0.95029,0.41097,0.31314,0.27722,0.15414,1.45976,1.09893,0.93063,0.056436,0.056436,0.056436
8,414.086,1.55112,1.1042,0.94339,0.41601,0.32502,0.29522,0.16709,1.42743,1.0504,0.92218,0.055842,0.055842,0.055842
9,465.021,1.53233,1.08667,0.93691,0.42133,0.32398,0.29429,0.16462,1.43135,1.05455,0.91791,0.055248,0.055248,0.055248
10,515.27,1.51373,1.05877,0.93319,0.45905,0.33927,0.32056,0.1783,1.39838,1.0019,0.91436,0.054654,0.054654,0.054654
11,566.416,1.48817,1.03491,0.92739,0.44897,0.34754,0.32118,0.18443,1.39152,1.00505,0.9091,0.05406,0.05406,0.05406
12,617.916,1.47574,1.02596,0.92391,0.43402,0.34775,0.32356,0.18683,1.3725,1.0104,0.90883,0.053466,0.053466,0.053466
13,669.051,1.47133,1.01418,0.92072,0.46194,0.35884,0.33743,0.19342,1.38235,0.97586,0.91045,0.052872,0.052872,0.052872
14,720.202,1.45016,0.99254,0.92009,0.47501,0.36601,0.34327,0.19766,1.36319,0.96816,0.90458,0.052278,0.052278,0.052278
15,771.259,1.4522,0.98528,0.91384,0.49347,0.36794,0.35837,0.20509,1.35183,0.94079,0.90035,0.051684,0.051684,0.051684
16,822.709,1.43086,0.97718,0.91376,0.46985,0.36711,0.3496,0.20192,1.34826,0.95538,0.90005,0.05109,0.05109,0.05109
17,872.954,1.43831,0.98149,0.91251,0.50325,0.36445,0.35501,0.20331,1.35218,0.94819,0.90289,0.050496,0.050496,0.050496
18,923.756,1.43658,0.97126,0.91305,0.48314,0.37226,0.36009,0.20703,1.3366,0.94229,0.89494,0.049902,0.049902,0.049902
19,975.432,1.4139,0.94937,0.90623,0.50443,0.37445,0.36888,0.21356,1.32916,0.92597,0.89278,0.049308,0.049308,0.049308
20,1026.1,1.40926,0.94757,0.90647,0.48437,0.38484,0.36921,0.21279,1.32333,0.92199,0.89227,0.048714,0.048714,0.048714
21,1077.61,1.40819,0.94254,0.90609,0.49496,0.38526,0.36856,0.21225,1.32232,0.92223,0.89421,0.04812,0.04812,0.04812
22,1128.45,1.40217,0.93504,0.90189,0.49742,0.38691,0.37225,0.21576,1.31652,0.91929,0.89038,0.047526,0.047526,0.047526
23,1179.24,1.40286,0.93066,0.90025,0.49823,0.38227,0.37872,0.21951,1.30655,0.90821,0.88824,0.046932,0.046932,0.046932
24,1230.34,1.39471,0.9205,0.89885,0.4949,0.39166,0.37778,0.21896,1.30811,0.90412,0.88767,0.046338,0.046338,0.046338
