epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,655.775,1.96647,1.86721,1.06099,0.23097,0.18315,0.11841,0.06094,1.84585,1.5897,1.00354,0.0199704,0.0199704,0.0866864
2,807.266,1.9332,1.52229,1.01891,0.22817,0.16725,0.10764,0.05627,1.80401,1.6633,0.99129,0.0395747,0.0395747,0.0729574
3,957.907,1.86517,1.43429,1.0025,0.29303,0.21643,0.16774,0.08887,1.7419,1.42521,0.9805,0.058783,0.058783,0.0588323
4,1110.27,1.78841,1.35147,0.98298,0.34126,0.26301,0.22442,0.12127,1.62192,1.22007,0.946,0.058218,0.058218,0.058218
5,1263.96,1.73135,1.27972,0.96347,0.3518,0.28856,0.24431,0.13269,1.57411,1.155,0.92875,0.057624,0.057624,0.057624
6,1416.34,1.69707,1.24383,0.95368,0.37922,0.27859,0.24242,0.1344,1.536,1.14663,0.9234,0.05703,0.05703,0.05703
7,1568.56,1.6811,1.22044,0.94629,0.36989,0.29796,0.25955,0.14068,1.525,1.126,0.91946,0.056436,0.056436,0.056436
8,1720.78,1.67185,1.20657,0.94251,0.39129,0.29794,0.26656,0.1474,1.50628,1.09905,0.91559,0.055842,0.055842,0.055842
9,1873.5,1.6626,1.19347,0.93836,0.40821,0.30682,0.27531,0.15285,1.48929,1.08311,0.91081,0.055248,0.055248,0.055248
10,2026.47,1.64936,1.18364,0.93704,0.4054,0.30947,0.28286,0.15649,1.47818,1.06786,0.90691,0.054654,0.054654,0.054654
11,2180.59,1.6438,1.17355,0.93363,0.41287,0.32068,0.2908,0.16185,1.46245,1.05703,0.90434,0.05406,0.05406,0.05406
12,2334.61,1.6372,1.16582,0.93308,0.42988,0.32333,0.29562,0.16409,1.45689,1.04345,0.90387,0.053466,0.053466,0.053466
13,2487.92,1.63226,1.15952,0.93044,0.43265,0.32406,0.30133,0.16756,1.45059,1.03427,0.90277,0.052872,0.052872,0.052872
14,2642.08,1.62435,1.15379,0.93025,0.42475,0.32492,0.30438,0.1697,1.44235,1.02736,0.90028,0.052278,0.052278,0.052278
15,2795.54,1.62011,1.14396,0.92752,0.43722,0.3264,0.30629,0.17166,1.43593,1.02036,0.89891,0.051684,0.051684,0.051684
16,2948.7,1.614,1.14188,0.92706,0.44244,0.32811,0.30866,0.17344,1.43118,1.01758,0.89797,0.05109,0.05109,0.05109
17,3101.18,1.61186,1.13604,0.92486,0.44283,0.3321,0.30992,0.17462,1.42975,1.01505,0.89724,0.050496,0.050496,0.050496
18,3254.77,1.61165,1.13547,0.92481,0.44477,0.32911,0.31213,0.17664,1.42723,1.01066,0.89733,0.049902,0.049902,0.049902
19,3407.01,1.60072,1.12685,0.9237,0.44505,0.33377,0.31383,0.17678,1.42172,1.00644,0.89562,0.049308,0.049308,0.049308
20,3559.94,1.60046,1.12501,0.92472,0.44287,0.33756,0.31433,0.1771,1.42014,1.00378,0.89549,0.048714,0.048714,0.048714
21,3711.91,1.59751,1.12015,0.92129,0.45014,0.33272,0.31574,0.17817,1.41795,1.0016,0.89509,0.04812,0.04812,0.04812
22,3865.73,1.59161,1.11402,0.91997,0.44823,0.33221,0.31613,0.17898,1.41608,0.99957,0.89435,0.047526,0.047526,0.047526
23,4018.38,1.5956,1.11559,0.92011,0.44703,0.33583,0.31723,0.17974,1.4137,0.99746,0.89369,0.046932,0.046932,0.046932
24,4169.67,1.5843,1.10834,0.91936,0.45001,0.33768,0.31807,0.17982,1.41252,0.99603,0.89325,0.046338,0.046338,0.046338
25,4323.03,1.58413,1.10807,0.91923,0.44736,0.33832,0.31874,0.1806,1.41131,0.99465,0.89295,0.045744,0.045744,0.045744
26,4475.12,1.58386,1.10405,0.91738,0.44795,0.33751,0.31925,0.18057,1.41066,0.99377,0.89271,0.04515,0.04515,0.04515
27,4628,1.57826,1.09677,0.91708,0.44806,0.3384,0.31942,0.18055,1.4098,0.99279,0.89251,0.044556,0.044556,0.044556
28,4780.12,1.57725,1.09947,0.9177,0.4464,0.33798,0.31916,0.18066,1.40921,0.99171,0.89248,0.043962,0.043962,0.043962
29,4932.12,1.57746,1.09589,0.91612,0.44376,0.34029,0.31975,0.18121,1.4084,0.99089,0.89231,0.043368,0.043368,0.043368
30,5085.72,1.57418,1.09032,0.91534,0.44593,0.34033,0.3201,0.18141,1.40779,0.99059,0.8921,0.042774,0.042774,0.042774
31,5237.69,1.5693,1.08677,0.91452,0.4467,0.34198,0.32051,0.18158,1.40708,0.98916,0.89208,0.04218,0.04218,0.04218
32,5391.13,1.56627,1.08752,0.91471,0.44907,0.34105,0.32106,0.18204,1.40656,0.98875,0.89171,0.041586,0.041586,0.041586
33,5543.16,1.5683,1.08611,0.91442,0.44883,0.34114,0.32139,0.18223,1.4057,0.98801,0.89163,0.040992,0.040992,0.040992
34,5695.52,1.56076,1.07904,0.91295,0.44862,0.3407,0.32108,0.18209,1.40522,0.98729,0.89147,0.040398,0.040398,0.040398
35,5848.9,1.56127,1.08097,0.9141,0.44835,0.34141,0.32106,0.18231,1.40427,0.98644,0.89131,0.039804,0.039804,0.039804
36,6000.62,1.55885,1.07588,0.91251,0.45075,0.34172,0.32182,0.1826,1.40433,0.9856,0.89136,0.03921,0.03921,0.03921
37,6153.13,1.55657,1.07273,0.91185,0.45251,0.34239,0.32194,0.18282,1.4042,0.98498,0.89127,0.038616,0.038616,0.038616
38,6306.09,1.5547,1.07225,0.91128,0.45333,0.34201,0.32201,0.18275,1.4038,0.9843,0.89111,0.038022,0.038022,0.038022
39,6458.65,1.5477,1.06642,0.91045,0.45331,0.3416,0.32193,0.18276,1.40343,0.98378,0.89098,0.037428,0.037428,0.037428
40,6610.49,1.5481,1.06517,0.90998,0.45462,0.34313,0.32245,0.18332,1.40271,0.98347,0.89087,0.036834,0.036834,0.036834
41,6763.25,1.54668,1.06272,0.9096,0.45606,0.34147,0.32249,0.18341,1.40204,0.98268,0.8907,0.03624,0.03624,0.03624
42,6915.96,1.54549,1.05916,0.9084,0.45618,0.34055,0.32284,0.18383,1.40177,0.98206,0.89064,0.035646,0.035646,0.035646
43,7071.3,1.54138,1.05632,0.90855,0.45701,0.33999,0.32345,0.18412,1.40082,0.98117,0.89051,0.035052,0.035052,0.035052
44,7222.99,1.53824,1.05471,0.90824,0.4595,0.34006,0.32408,0.18432,1.40069,0.98087,0.89062,0.034458,0.034458,0.034458
45,7376.52,1.53828,1.05235,0.90751,0.45735,0.34173,0.32435,0.18494,1.4,0.98018,0.89038,0.033864,0.033864,0.033864
46,7528.59,1.52924,1.04546,0.90697,0.45915,0.342,0.32497,0.18522,1.39916,0.97967,0.8902,0.03327,0.03327,0.03327
47,7682.02,1.53303,1.04492,0.90674,0.46076,0.34223,0.32516,0.18542,1.39863,0.97904,0.89008,0.032676,0.032676,0.032676
48,7834.51,1.535,1.04639,0.90603,0.46259,0.34126,0.32541,0.18551,1.39822,0.97866,0.88989,0.032082,0.032082,0.032082
49,7986.69,1.52775,1.04111,0.90577,0.46318,0.34193,0.32592,0.18584,1.3977,0.97786,0.8898,0.031488,0.031488,0.031488
50,8141.48,1.53024,1.04287,0.90575,0.46336,0.34153,0.32582,0.18587,1.39743,0.97768,0.88976,0.030894,0.030894,0.030894
51,8293.71,1.52714,1.03789,0.90481,0.46642,0.34017,0.32576,0.18597,1.39708,0.97725,0.88965,0.0303,0.0303,0.0303
52,8446.49,1.51819,1.03088,0.90404,0.46538,0.33968,0.32619,0.18592,1.39643,0.97679,0.88948,0.029706,0.029706,0.029706
53,8600.89,1.5223,1.03252,0.90426,0.46878,0.33849,0.32676,0.18607,1.39635,0.97619,0.88942,0.029112,0.029112,0.029112
54,8755.19,1.51605,1.02928,0.90396,0.46556,0.33847,0.32735,0.18665,1.39564,0.976,0.88936,0.028518,0.028518,0.028518
55,8907.41,1.51826,1.02865,0.90377,0.46275,0.34033,0.32777,0.18682,1.3955,0.97535,0.88914,0.027924,0.027924,0.027924
56,9060.71,1.51284,1.02329,0.90282,0.4586,0.34362,0.32894,0.18735,1.39457,0.97479,0.88897,0.02733,0.02733,0.02733
57,9214.55,1.5101,1.0206,0.90172,0.46013,0.34273,0.32878,0.18749,1.3943,0.97481,0.88885,0.026736,0.026736,0.026736
58,9366.94,1.50948,1.01846,0.90146,0.45896,0.34395,0.32923,0.18759,1.39428,0.97477,0.88894,0.026142,0.026142,0.026142
59,9521.74,1.50636,1.01559,0.90071,0.46219,0.34256,0.32958,0.18771,1.39397,0.97487,0.88881,0.025548,0.025548,0.025548
60,9675.05,1.50395,1.01438,0.90032,0.45935,0.34325,0.32905,0.18755,1.39364,0.97463,0.88872,0.024954,0.024954,0.024954
61,9828.33,1.49992,1.00696,0.89936,0.46212,0.34306,0.32972,0.18781,1.39399,0.97477,0.88862,0.02436,0.02436,0.02436
62,9981.74,1.49816,1.00742,0.8984,0.46234,0.34463,0.3299,0.18804,1.39356,0.97479,0.88845,0.023766,0.023766,0.023766
63,10136.5,1.49386,1.00136,0.8992,0.46339,0.3439,0.32979,0.18791,1.39281,0.97452,0.88833,0.023172,0.023172,0.023172
64,10290,1.4952,1.00317,0.89841,0.46395,0.34116,0.32956,0.18811,1.39281,0.97441,0.88811,0.022578,0.022578,0.022578
65,10444.3,1.49136,0.99797,0.89806,0.46118,0.34221,0.32982,0.18831,1.3929,0.9746,0.88814,0.021984,0.021984,0.021984
66,10596.7,1.48949,0.99667,0.89756,0.46379,0.34169,0.32927,0.18849,1.39255,0.97438,0.88798,0.02139,0.02139,0.02139
67,10750.5,1.48637,0.99322,0.89737,0.46611,0.34231,0.32944,0.18854,1.39272,0.97476,0.88797,0.020796,0.020796,0.020796
68,10904.2,1.48187,0.9882,0.89698,0.46298,0.34377,0.32987,0.18905,1.3924,0.97513,0.8879,0.020202,0.020202,0.020202
69,11058.2,1.48355,0.98874,0.89641,0.46225,0.34683,0.32941,0.18895,1.39239,0.97533,0.88783,0.019608,0.019608,0.019608
70,11211.2,1.48204,0.98534,0.89561,0.46091,0.3475,0.32933,0.18907,1.39247,0.97564,0.88789,0.019014,0.019014,0.019014
71,11365.4,1.47113,0.97787,0.89525,0.4618,0.34749,0.32927,0.1892,1.39231,0.97613,0.88782,0.01842,0.01842,0.01842
72,11519.2,1.47663,0.97545,0.89373,0.46266,0.34754,0.32944,0.18908,1.39256,0.97691,0.8878,0.017826,0.017826,0.017826
73,11672.7,1.46988,0.97363,0.89328,0.46466,0.34785,0.32945,0.18923,1.39229,0.97744,0.88776,0.017232,0.017232,0.017232
74,11826.8,1.46751,0.96958,0.89218,0.46312,0.34639,0.32893,0.189,1.39241,0.97826,0.88765,0.016638,0.016638,0.016638
75,11980.1,1.46264,0.96607,0.89298,0.46318,0.34625,0.32906,0.18904,1.39222,0.97914,0.88752,0.016044,0.016044,0.016044
76,12133.3,1.46106,0.96439,0.89252,0.46303,0.34557,0.32907,0.18907,1.39239,0.98008,0.88749,0.01545,0.01545,0.01545
77,12288,1.45918,0.96091,0.89088,0.46377,0.34569,0.32887,0.18903,1.39221,0.98087,0.88744,0.014856,0.014856,0.014856
78,12440.2,1.45548,0.95504,0.88987,0.46455,0.34586,0.32897,0.18913,1.39203,0.98176,0.88732,0.014262,0.014262,0.014262
