epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8505,2.0992,2.4294,1.11645,0.1336,0.14173,0.06998,0.02961,2.10034,1.85632,1.13024,0.0198519,0.0198519,0.0867654
2,102.16,2.17963,1.89421,1.0975,0.6954,0.02789,0.02877,0.01549,2.40446,2.53535,1.27736,0.0394573,0.0394573,0.0730376
3,142.137,2.15706,1.8223,1.0891,0.13069,0.09696,0.05087,0.02513,2.18123,2.49946,1.11854,0.0586668,0.0586668,0.0589137
4,179.957,2.04375,1.67268,1.05624,0.35396,0.08367,0.06191,0.03194,2.18144,2.23726,1.11184,0.058218,0.058218,0.058218
5,217.877,1.9155,1.51892,1.02346,0.20822,0.18887,0.12451,0.06559,1.8627,1.54058,1.02164,0.057624,0.057624,0.057624
6,255.485,1.84293,1.43273,1.00234,0.26737,0.22785,0.17084,0.09024,1.76004,1.36607,0.98486,0.05703,0.05703,0.05703
7,293.862,1.80914,1.3958,0.99238,0.29949,0.24093,0.17463,0.09303,1.68513,1.4142,0.97127,0.056436,0.056436,0.056436
8,333.192,1.78635,1.36647,0.98522,0.28609,0.24588,0.18534,0.10131,1.67088,1.32634,0.96254,0.055842,0.055842,0.055842
9,370.734,1.75824,1.33579,0.97512,0.313,0.24715,0.20016,0.10566,1.68391,1.26705,0.96792,0.055248,0.055248,0.055248
10,409.582,1.739,1.31005,0.96969,0.34669,0.2585,0.20758,0.10996,1.65348,1.27709,0.95693,0.054654,0.054654,0.054654
11,447.8,1.72454,1.29569,0.96721,0.34418,0.2595,0.21974,0.11919,1.62072,1.22335,0.95052,0.05406,0.05406,0.05406
12,487.537,1.70958,1.27757,0.9597,0.32721,0.26029,0.20544,0.11206,1.61574,1.30615,0.9443,0.053466,0.053466,0.053466
13,524.883,1.70856,1.2717,0.96013,0.32161,0.26279,0.20842,0.11385,1.64126,1.29235,0.94497,0.052872,0.052872,0.052872
14,563.14,1.68296,1.25084,0.95684,0.36908,0.26363,0.22765,0.12467,1.59669,1.23694,0.93866,0.052278,0.052278,0.052278
15,600.307,1.68085,1.23991,0.95147,0.35867,0.27218,0.22995,0.12412,1.59516,1.1932,0.9374,0.051684,0.051684,0.051684
